INFO | 2016-11-21 19:29:12,121 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:29:12,882 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:29:13,016 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:29:13,286 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:30:02,550 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:30:39,917 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:30:40,368 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:30:41,183 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:41:27,718 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:45:31,695 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:27:43,927 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:29:26,479 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:30:37,474 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:31:36,161 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:31:51,374 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:37:53,098 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:38:00,648 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:47:13,226 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:48:07,973 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:48:21,363 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:48:37,596 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:48:41,297 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:48:58,926 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:49:03,083 | index | root | Someone visited the Home page /
INFO | 2016-11-21 20:49:03,199 | index | root | Someone visited the Home page /
INFO | 2016-11-21 20:51:01,818 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:51:02,807 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:52:06,591 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:57:24,071 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:57:43,443 | index | root | Someone visited the Home page /
INFO | 2016-11-21 20:57:43,799 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:57:44,630 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 20:58:07,129 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 20:58:16,765 | index | login | Someone visited the Login page /login
INFO | 2016-11-24 13:19:50,255 | index | root | Someone visited the Home page /
INFO | 2016-11-24 13:21:21,401 | index | root | Someone visited the Home page /
INFO | 2016-11-24 13:21:25,753 | index | root | Someone visited the Home page /
INFO | 2016-11-24 13:21:26,374 | index | root | Someone visited the Home page /
INFO | 2016-11-25 09:56:25,622 | index | root | Someone visited the Home page /
INFO | 2016-11-25 09:57:06,714 | index | root | Someone visited the Home page /
INFO | 2016-11-25 09:57:10,452 | index | root | Someone visited the Home page /
INFO | 2016-11-25 09:57:11,319 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 09:57:12,010 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 09:57:27,469 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 09:57:41,107 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:00:09,567 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:06:30,611 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:08:26,105 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:10:09,215 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:10:40,322 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:11:12,448 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:23:55,521 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:23:58,556 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:24:29,121 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:24:33,830 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:26:18,033 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:27:19,034 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:27:25,822 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:29:14,759 | index | register | Someone visited the Register page /register
INFO | 2016-11-25 10:29:27,346 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:30:28,348 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:31:16,288 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:33:02,194 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:33:16,219 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:43:24,208 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:50:51,852 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:51:02,665 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:52:18,290 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:52:22,760 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:55:24,589 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:55:52,793 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:56:11,629 | index | login | Someone visited the Login page /login
INFO | 2016-11-25 10:57:24,328 | index | login | Someone visited the Login page /login
